Country,Region,Province,City,Successful_Attack,Suicide_Attack,Attack_Type,Target_Type,Target_Subtype,Corporation,Target,Target_Nationality,Terrorist_Group,Weapon_Type,Kill_Count,Terrorists_Killed,People_Injured,Terrorist_Injured,Property_Damaged,Hostage_Kidnapped,ransom,Hostage_Recovered,International_Attack,Death_Category,Death
India,'South Asia',Manipur,'Imphal West district',1,0,Bombing/Explosion,'Government (General)','Government Personnel (excluding police  military)','Government of India','Government contract workers',India,Unknown,Explosives,1,0,2,0,-9,0,0,0,0,Low,yes
'El Salvador','Central America & Caribbean','San Salvador','San Salvador',1,0,Assassination,'Government (General)','Politician or Political Party Movement/Meeting/Rally','Republican Nationlist Alliance Party  right wing','Rene Barrios amaya  Deputy (first secretary) to Constituent assembly','El Salvador','Farabundo Marti National Liberation Front (FMLN)',Firearms,1,0,0,0,0,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Northern,Jaffna,1,0,Unknown,Police,'Police Building (headquarters  station  school)',Unknown,'Police Station','Sri Lanka',Tamils,Unknown,9,8,2,0,1,0,0,0,1,Medium,yes
Lebanon,'Middle East & North Africa',South,Jezzine,1,0,Bombing/Explosion,'Terrorists/Non-State Militia','Non-State Militia',Unknown,'SLA Militia*',Lebanon,Hezbollah,Explosives,1,0,2,0,1,0,0,0,1,Low,yes
Egypt,'Middle East & North Africa',Beheira,Beheira,1,0,'Armed Assault','Journalists & Media','Newspaper Journalist/Staff/Facility','Al-Jumhuriyah Newspaper; Al Ahram Newspaper','Journalists: Hamid al-Barbari  Abd al-Ra uf',Egypt,Unknown,Firearms,1,0,1,0,1,0,0,0,0,Low,yes
'United Kingdom','Western Europe','Northern Ireland',Ardress,1,0,Bombing/Explosion,'Private Citizens & Property','Religion Identified','Vallelly s Bar','Seamus Mallon  31  Catholic','Northern Ireland','Protestant extremists',Explosives,1,0,0,0,1,0,0,0,1,Low,yes
Mali,'Sub-Saharan Africa',Timbuktu,Niafounke,1,0,Unknown,NGO,'International NGO','U/I Swiss Aid Project','Aid Prokect',Switzerland,'Tuareg extremists',Unknown,3,0,0,0,1,0,0,0,1,Low,yes
Somalia,'Sub-Saharan Africa','Lower Juba',Madhowa,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Somalia,Al-Shabaab,Explosives,5,0,6,0,0,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Hiiraan,Qandho,1,0,'Hostage Taking (Kidnapping)','Educational Institution',Teacher/Professor/Instructor,Unknown,'Koran Teacher: Hussein Osman Rage',Somalia,Al-Shabaab,Melee,1,0,0,0,0,1,0,0,0,Low,yes
'South Africa','Sub-Saharan Africa',Natal,Unknown,1,0,Assassination,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'woman  daughter and male','South Africa',Unknown,Firearms,3,0,0,0,0,0,0,0,0,Low,yes
Nigeria,'Sub-Saharan Africa',Rivers,Bonny,1,0,'Hostage Taking (Kidnapping)',Business,Gas/Oil/Electric,Unknown,'A Shell oil platform in Bonny was targeted',Nigeria,Unknown,Unknown,1,0,1,0,-9,1,0,0,0,Low,yes
India,'South Asia',Chhattisgarh,Tiralgarh,1,0,'Armed Assault','Private Citizens & Property','Alleged Informant','Not Applicable','Suspected Informant: Satru Ram',India,Maoists,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Nigeria,'Sub-Saharan Africa',Zamfara,'Birnin Tudu',1,0,'Armed Assault','Private Citizens & Property',Village/City/Town/Suburb,'Birnin Tudu Village',Village,Nigeria,'Boko Haram',Firearms,8,0,0,0,1,0,0,0,0,Medium,yes
'West Bank and Gaza Strip','Middle East & North Africa','West Bank',Nablus,1,0,'Armed Assault',Business,?,'Israeli Civilians in the West Bank','Israeli Truck Driver near Nablus  the West Bank',Israel,'Democratic Front for the Liberation of Palestine (DFLP)',Firearms,1,0,0,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Nineveh,Mosul,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'A civilian',Iraq,Unknown,Explosives,1,0,0,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Diyala,Baqubah,1,0,'Armed Assault','Terrorists/Non-State Militia','Non-State Militia','Sahwa Council','A Sahwa member',Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
'El Salvador','Central America & Caribbean','San Miguel','San Miguel',1,0,Assassination,'Government (General)',Judge/Attorney/Court,Unknown,'Relatives of Salvadorean Judge','El Salvador',Unknown,Unknown,5,0,0,0,0,0,0,0,0,Low,yes
Indonesia,'Southeast Asia',Maluku,Utta,1,0,'Armed Assault','Private Citizens & Property','Religion Identified',Civilians,'Christian villagers',Indonesia,Muslims,Firearms,2,0,0,0,1,0,0,0,0,Low,yes
'El Salvador','Central America & Caribbean',Unknown,'El Ayer',1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy',Unknown,'Military Reserve Unit','El Salvador',Unknown,Firearms,6,0,0,0,1,0,0,0,0,Medium,yes
'El Salvador','Central America & Caribbean','San Salvador','San Salvador',1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy',Unknown,'military patrol','El Salvador',Unknown,Firearms,2,0,0,0,1,0,0,0,0,Low,yes
Algeria,'Middle East & North Africa','Tebessa (Province)','Bir El Ater',1,0,'Armed Assault',Police,'Police Building (headquarters  station  school)','Algerian Police','Police station in Bir el Atter  Algeria',Algeria,Unknown,Explosives,2,2,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Diyala,Baqubah,1,1,Bombing/Explosion,Military,'Military Personnel (soldiers  troops  officers  forces)','Iraqi Armed Forces',Unknown,Iraq,Unknown,Chemical,1,1,0,0,-9,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa','Al Anbar','Abu Ghraib',1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,Civilians,Iraq,Unknown,Explosives,3,0,2,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Baghlan,'Jelaw Gir',1,0,'Armed Assault',Business,Construction,'Chinese Civilians','Chinese Construction Workers',China,Unknown,Firearms,11,0,16,0,0,0,0,0,1,Medium,yes
Guatemala,'Central America & Caribbean','El Peten',Unknown,1,0,Assassination,'Government (General)','Government Personnel (excluding police  military)',Unknown,'Paula Dora Castilla Asst. Secry',Guatemala,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Spain,'Western Europe','Basque Country','Donostia-San Sebastian',1,0,Assassination,Police,'Police Security Forces/Officers','National Police',Policeman,Spain,'Basque Fatherland and Freedom (ETA)',Firearms,2,0,0,0,0,0,0,0,1,Low,yes
Russia,'Eastern Europe',Dagestan,Makhachkala,1,1,Bombing/Explosion,Police,'Police Security Forces/Officers','Makhachkala Law Enforcement','Police officers',Russia,Unknown,Explosives,2,1,3,0,1,0,0,0,0,Low,yes
India,'South Asia',Delhi,Todapur,1,0,Unknown,Police,'Police Security Forces/Officers',police,'police unit',India,Unknown,Unknown,2,0,0,0,1,0,0,0,0,Low,yes
Angola,'Sub-Saharan Africa',Cunene,Namacunde,1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified','Angolan civilians','People of the village of Namacunde  on the border with Namibia  and their property',Angola,'National Union for the Total Independence of Angola (UNITA)',Firearms,3,0,4,0,1,0,0,0,0,Low,yes
Guatemala,'Central America & Caribbean',Guatemala,'Guatemala City',1,0,Assassination,Police,'Police Security Forces/Officers','National Police',policeman,Guatemala,Unknown,Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Balkh,'Balkh district',1,0,Bombing/Explosion,Police,'Police Security Forces/Officers','Afghan Police',Officer,Afghanistan,Taliban,Explosives,1,0,2,0,0,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Sirnak,Silopi,1,0,'Armed Assault','Terrorists/Non-State Militia','Non-State Militia','Turkish Village Guards','Members: Osman Inal  Lezgin Yagiz',Turkey,'Kurdistan Workers  Party (PKK)',Firearms,1,0,1,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Nuristan,'Ruyi Du Ab district',1,0,Unknown,Police,'Police Checkpoint','Afghan Police',Checkpoint,Afghanistan,Taliban,Unknown,11,10,16,13,0,0,0,0,0,Medium,yes
Afghanistan,'South Asia',Kunduz,'Imam Sahib district',1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Afghanistan,Taliban,Explosives,2,0,3,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,'Kajaki district',1,0,Bombing/Explosion,'Private Citizens & Property',Vehicles/Transportation,'Not Applicable','Civilian Motorcycle',Afghanistan,Taliban,Explosives,2,0,0,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault','Religious Figures/Institutions','Affiliated Institution','Jaffaria Alliance Pakistan (JAP)','Son of Chief: Ali Akbar Kumaili',Pakistan,Unknown,Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Nangarhar,'Muhmand Dara district',1,1,Bombing/Explosion,Military,'Military Personnel (soldiers  troops  officers  forces)','Afghan National Army (ANA)',Soldiers,Afghanistan,Unknown,Explosives,1,1,2,0,-9,0,0,0,0,Low,yes
Syria,'Middle East & North Africa',Aleppo,Unknown,1,0,Bombing/Explosion,NGO,'Domestic NGO','Syrian Arab Red Crescent (SARC)',Ambulance,Syria,Unknown,Explosives,3,0,1,0,1,0,0,0,0,Low,yes
Mali,'Sub-Saharan Africa',Gao,Ansongo,1,0,Bombing/Explosion,'Government (Diplomatic)','International Organization (peacekeeper  aid agency  compound)','United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA)',Base,International,'Movement for Oneness and Jihad in West Africa (MUJAO)',Explosives,1,0,2,0,1,0,0,0,1,Low,yes
Afghanistan,'South Asia',Kabul,Kabul,1,1,Bombing/Explosion,Military,NATO,'International Security Armed Forces (ISAF)','Five ISAF soldiers',International,'Haqqani Network',Explosives,18,1,0,0,1,0,0,0,1,Medium,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Bombing/Explosion,'Private Citizens & Property',Village/City/Town/Suburb,'Arab Jabbur Village',Village,Iraq,Unknown,Explosives,2,0,5,0,-9,0,0,0,0,Low,yes
India,'South Asia','Jammu and Kashmir',Kulpora,1,0,Assassination,'Government (General)','Politician or Political Party Movement/Meeting/Rally','Government of Nyayna','Sarpanch: Ghulam Mohammad Lone',India,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,'Lashkar Gah',1,0,'Armed Assault',Police,'Police Security Forces/Officers','Afghan Police','First Lieutenant: Nigar',Afghanistan,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Spain,'Western Europe','Basque Country',Amurrio,1,0,Assassination,Business,Restaurant/Bar/Café,bar,'Joaquin Becerra (42)  owner',Spain,'Basque Fatherland and Freedom (ETA)',Firearms,1,0,0,0,0,0,0,0,1,Low,yes
Italy,'Western Europe',Campania,Naples,1,0,Assassination,Police,'Police Security Forces/Officers',Naples,'Antonio Ammaturo  57  Head of Mobile Police Force',Italy,'Red Brigades',Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Pakistan,'South Asia','Federally Administered Tribal Areas','Tirah district',1,1,Bombing/Explosion,'Terrorists/Non-State Militia',Terrorist,'Lashkar-e-Islam (LeI)',Members,Pakistan,'Tehrik-i-Taliban Pakistan (TTP)',Explosives,23,1,20,0,0,0,0,0,0,Medium,yes
Nigeria,'Sub-Saharan Africa','Akwa Ibom','Ukanafun district',1,0,'Armed Assault',Police,'Police Security Forces/Officers','Nigeria Police Force (NPF)',Officers,Nigeria,Unknown,Firearms,3,0,0,0,0,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Hatay,Reyhanli,1,0,Bombing/Explosion,'Government (General)','Government Building/Facility/Office','General Directorate of Post and Telegraph Organization (PTT)','Reyhanli Post Office',Turkey,'Islamic State of Iraq and the Levant (ISIL)',Explosives,26,0,70,0,1,0,0,0,1,Medium,yes
Yemen,'Middle East & North Africa',Lahij,'Hawtah district',1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Yemen,'Houthi extremists (Ansar Allah)',Explosives,1,0,0,0,-9,0,0,0,0,Low,yes
Syria,'Middle East & North Africa',Aleppo,Manbij,1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Syria,'Islamic State of Iraq and the Levant (ISIL)',Firearms,10,0,0,0,0,0,0,0,1,Medium,yes
India,'South Asia','Jammu and Kashmir',Magam,0,0,Assassination,'Government (General)','Politician or Political Party Movement/Meeting/Rally','India Opposition Congress Party','Moulvi Iftikhar Ansari  a Senior Legislator of the Opposition Congress Party',India,Unknown,Explosives,11,0,6,0,-9,0,0,0,0,Medium,yes
Afghanistan,'South Asia',Nangarhar,'Rodat district',1,0,Bombing/Explosion,Unknown,?,Unknown,Unknown,?,'Khorasan Chapter of the Islamic State',Explosives,2,2,4,4,0,0,0,0,1,Low,yes
Peru,'South America',Huancavelica,Chupamarca,1,0,Assassination,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'3 persons',Peru,'Shining Path (SL)',Firearms,3,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Badghis,'Bala Morghab',1,0,'Armed Assault',Police,'Police Building (headquarters  station  school)','Afghan Police',Checkpost,Afghanistan,Taliban,Firearms,1,1,3,2,-9,0,0,0,0,Low,yes
Yemen,'Middle East & North Africa',Taizz,'Waziiyah district',1,0,Bombing/Explosion,'Private Citizens & Property',Village/City/Town/Suburb,Unknown,Neighborhoods,Yemen,'Houthi extremists (Ansar Allah)',Explosives,2,0,4,0,-9,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Eastern,Trincomalee,1,0,Assassination,'Private Citizens & Property','Religion Identified',Unknown,muslims,?,Tamils,Firearms,3,0,0,0,0,0,0,0,1,Low,yes
Peru,'South America',Ayacucho,Ayacucho,0,0,Bombing/Explosion,'Government (General)','Government Building/Facility/Office',Unknown,'provincial council bldg',Peru,'Shining Path (SL)',Explosives,1,1,0,0,0,0,0,0,0,Low,yes
Colombia,'South America',Narino,Barbacoas,1,0,Bombing/Explosion,Military,'Military Personnel (soldiers  troops  officers  forces)','National Army of Colombia',Soldiers,Colombia,'Revolutionary Armed Forces of Colombia (FARC)',Explosives,2,0,4,0,0,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Eastern,Trincomalee,1,0,Assassination,'Private Citizens & Property','Race/Ethnicity Identified',Unk,'Tamil males','Sri Lanka','Liberation Tigers of Tamil Eelam (LTTE)',Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Colombia,'South America',Santander,Barrancabermeja,1,0,Assassination,'Journalists & Media','Newspaper Journalist/Staff/Facility','Local Newspaper',Journalist,Colombia,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Egypt,'Middle East & North Africa',Asyut,Badari,1,0,Assassination,Police,'Police Security Forces/Officers',police,'policeman Mohamad Ismail Attiyah',Egypt,'Muslim Militants',Firearms,1,0,1,0,0,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Batman,Batman,1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy','Turkish Armed Forces (TSK)',Unit,Turkey,'Kurdistan Workers  Party (PKK)',Firearms,1,0,0,0,1,0,0,0,0,Low,yes
Philippines,'Southeast Asia','Zamboanga del Norte',Unknown,1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified','Village of Poblacion','Villagers of Poblacion',Philippines,'Moro Islamic Liberation Front (MILF)',Firearms,14,0,6,0,1,0,0,0,0,Medium,yes
Pakistan,'South Asia','Khyber Pakhtunkhwa','Malam Jabba',1,0,Bombing/Explosion,'Private Citizens & Property',Vehicles/Transportation,'Not Applicable',Vehicle,Pakistan,Unknown,Explosives,2,0,0,0,1,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Banaadir,Mogadishu,1,1,Bombing/Explosion,'Government (General)','Government Building/Facility/Office','Government of Somalia','Villa Somalia',Somalia,Al-Shabaab,Explosives,3,1,2,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault','Violent Political Party','Party Official/Candidate/Other Personnel','Muhajir Qaumi Movement (MQM)',Members,Pakistan,'Muttahida Qami Movement (MQM)',Firearms,4,0,0,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia','Khyber Pakhtunkhwa',Jamrud,1,0,'Armed Assault',Police,'Police Building (headquarters  station  school)','Frontier Constabulary (FC)',Checkpost,Pakistan,Unknown,Firearms,1,1,0,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault','Private Citizens & Property','Race/Ethnicity Identified','Not Applicable','Ismaili Civilian: Mohammed Karim',Pakistan,'Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)',Firearms,2,0,0,0,1,0,0,0,0,Low,yes
Lebanon,'Middle East & North Africa',Beirut,Beirut,1,0,Bombing/Explosion,Business,Entertainment/Cultural/Stadium/Casino,'Chateau Irinian Theatre','Mercedes 230',?,Unknown,Explosives,3,0,3,0,1,0,0,0,0,Low,yes
Thailand,'Southeast Asia',Yala,Baro,1,0,'Armed Assault',Business,Farm/Ranch,Unknown,'Rubber Plantation Owners: Baraheng Lalae  Maliwan Daebo',Thailand,Separatists,Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Philippines,'Southeast Asia','Compostela Valley',Aguinaldo,1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy','Philippine Army (PA); Citizens Armed Forces Geographical Unit (CAFGU)','Joint Patrol',Philippines,'New People s Army (NPA)',Firearms,1,0,1,0,0,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault','Violent Political Party','Party Official/Candidate/Other Personnel','Ahle Sunnat Wal Jamaat (ASWJ)',Leader,Pakistan,Unknown,Firearms,1,0,2,0,0,0,0,0,0,Low,yes
Pakistan,'South Asia','Khyber Pakhtunkhwa',Barawal,1,0,'Armed Assault',Military,'Military Personnel (soldiers  troops  officers  forces)','Pakistan Armed Forces','Security forces',Pakistan,'Tehrik-i-Taliban Pakistan (TTP)',Firearms,7,7,3,3,0,0,0,0,0,Medium,yes
Turkey,'Middle East & North Africa',Unknown,Unknown,1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy',military,unit,Turkey,'Kurdistan Workers  Party (PKK)',Firearms,2,0,0,0,1,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,'Lashkar Gah',1,0,Bombing/Explosion,Police,'Police Patrol (including vehicles and convoys)','Afghan Police','Patrol Vehicle',Afghanistan,Taliban,Explosives,3,0,2,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Kandahar,Kandahar,1,0,'Armed Assault',Police,'Police Security Forces/Officers','Afghan Police',Officers,Afghanistan,Unknown,Firearms,5,0,1,0,1,0,0,0,0,Low,yes
Thailand,'Southeast Asia',Yala,'Bannang Sata',1,0,'Armed Assault','Private Citizens & Property','Religion Identified',Unknown,'A 56-year old Buddhist man was killed.',Thailand,Unknown,Firearms,1,0,1,0,0,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Bay,'Dinsor district',1,1,Bombing/Explosion,Military,'Military Unit/Patrol/Convoy','African Union Mission in Somalia (AMISOM)','Ethiopian Convoy',International,Al-Shabaab,Explosives,7,1,0,0,0,0,0,0,1,Medium,yes
Iraq,'Middle East & North Africa',Nineveh,Mosul,1,1,Bombing/Explosion,Police,'Police Security Forces/Officers','Iraqi Police Service (IPS)','Officer: Aziz al-Sourgi',Iraq,'Islamic State of Iraq and the Levant (ISIL)',Explosives,4,1,9,0,-9,0,0,0,1,Low,yes
Yemen,'Middle East & North Africa',Lahij,Unknown,1,0,Assassination,Military,'Military Personnel (soldiers  troops  officers  forces)',Military,'2 Majors  3 Rank not stated',Yemen,Unknown,Firearms,5,0,0,0,0,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Diyarbakir,Tepe,1,0,Bombing/Explosion,Business,?,Unknown,'Tractor carrying villagers to work',Turkey,'Kurdistan Workers  Party (PKK)',Explosives,5,0,10,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Saladin,Samarra,1,0,Bombing/Explosion,Military,'Military Unit/Patrol/Convoy','Iraqi Army',Patrol,Iraq,Unknown,Explosives,2,0,2,0,1,0,0,0,0,Low,yes
Afghanistan,'South Asia',Kandahar,Kandahar,1,1,Bombing/Explosion,'Private Citizens & Property',?,Unknown,Unknown,Afghanistan,Unknown,Explosives,3,1,18,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa','Al Anbar','Rutbah district',1,0,'Armed Assault',Military,'Military Barracks/Base/Headquarters/Checkpost','Iraqi Army',Headquarters,Iraq,'Islamic State of Iraq and the Levant (ISIL)',Firearms,2,0,4,0,0,0,0,0,1,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,'Armed Assault',Police,'Police Security Forces/Officers','Iraqi Police Service (IPS)','Anti-Terrorism Unit Officer',Iraq,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa','Lower Shebelle',Wadajir,1,0,'Armed Assault',Military,'Military Personnel (soldiers  troops  officers  forces)','Somali Armed Forces (SAF)','Officials: Muhayadin Weheliye  Yasin Ali',Somalia,Al-Shabaab,Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Farah,Gajgeen,1,0,'Armed Assault','Government (General)','Government Personnel (excluding police  military)','Afghan Ministry of Labor  Social Affairs  Martyrs  and Disabled','Public Welfare Department Official: Muhammad Hashim',Afghanistan,Taliban,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Libya,'Middle East & North Africa',Benghazi,Benghazi,1,0,Assassination,Police,'Police Security Forces/Officers','Libyan National Police (LNP)','Commander: Colonel Khatab Younes Al-Zwyi',Libya,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Nangarhar,'Marko Bazaar',1,1,Bombing/Explosion,Police,'Police Security Forces/Officers','Counter Narcotics Police of Afghanistan (CNPA)',Team,Afghanistan,Unknown,Explosives,1,1,0,0,1,0,0,0,0,Low,yes
'United Kingdom','Western Europe','Northern Ireland',Belfast,1,0,Assassination,'Private Citizens & Property','Religion Identified',Unknown,'David McConkey  40  Catholic','Northern Ireland','Protestant extremists',Firearms,1,0,0,0,0,0,0,0,1,Low,yes
Somalia,'Sub-Saharan Africa',Banaadir,Mogadishu,1,1,Bombing/Explosion,Business,Restaurant/Bar/Café,'Village Restaurant',Restaurant,Somalia,Al-Shabaab,Explosives,4,1,0,0,1,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Hakkari,Cukurca,1,0,'Armed Assault',Transportation,'Bus (excluding tourists)','Bus Co.',bus,Turkey,Unknown,Firearms,2,0,0,0,1,1,0,0,0,Low,yes
Colombia,'South America',Arauca,Unknown,1,0,Bombing/Explosion,Police,'Police Security Forces/Officers',Govt,Police,Colombia,'National Liberation Army of Colombia (ELN)',Explosives,4,0,7,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault',Transportation,'Bus (excluding tourists)',Civilians,'Students at Karachi  University.',India,Unknown,Firearms,7,0,18,0,0,0,0,0,1,Medium,yes
Pakistan,'South Asia',Balochistan,'Suntsar district',1,0,'Hostage Taking (Kidnapping)',Business,Industrial/Textiles/Factory,Unknown,'Stone-Crushing Plant',Pakistan,Unknown,Firearms,3,0,0,0,1,1,0,0,0,Low,yes
Algeria,'Middle East & North Africa',Constantine,Constantine,1,0,'Armed Assault',Police,'Police Security Forces/Officers','Algerian Police',Officer,Algeria,'Algeria Province of the Islamic State',Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Nicaragua,'Central America & Caribbean',Managua,'El Triunfo',1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy',Unknown,'Military Unit',Nicaragua,'Nicaraguan Democratic Force (FDN)',Firearms,3,0,0,0,1,0,0,0,0,Low,yes
Afghanistan,'South Asia',Ghazni,Godaley,1,0,Bombing/Explosion,Police,'Police Security Forces/Officers','Afghan Police','Afghan Police',Afghanistan,Taliban,Explosives,4,0,2,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia',Balochistan,Turbat,1,0,Unknown,Military,'Military Unit/Patrol/Convoy','Pakistan Armed Forces',Convoy,Pakistan,Unknown,Unknown,1,0,0,0,0,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Northern,Vavuniya,1,0,Bombing/Explosion,'Private Citizens & Property',Farmer,Unknown,'farmers and soldiers','Sri Lanka',Tamils,Unknown,7,0,7,0,1,0,0,0,1,Medium,yes
Libya,'Middle East & North Africa',Sirte,Sirte,1,0,Assassination,'Journalists & Media','Television Journalist/Staff/Facility','Arraed Television','Journalist: Abdelqadir Fassouk',Libya,'Tripoli Province of the Islamic State',Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Assassination,'Religious Figures/Institutions','Religious Figure','Shi i Cleric','Shi i cleric Muwaffaq Mansour',Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,'Armed Assault','Educational Institution','Other Personnel',Unknown,'A civilian university official',Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
Nigeria,'Sub-Saharan Africa',Benue,'Logo district',1,0,'Armed Assault','Private Citizens & Property',Village/City/Town/Suburb,Unknown,Village,Nigeria,'Fulani extremists',Firearms,1,0,0,0,1,0,0,0,0,Low,yes
'United Kingdom','Western Europe','Northern Ireland',Londonderry,1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy','British Army','Foot Patrol','Great Britain','Irish Republican Army (IRA)',Firearms,1,0,0,0,0,0,0,0,1,Low,yes
Philippines,'Southeast Asia','Camarines Norte',Paracale,1,0,'Armed Assault',Police,'Police Patrol (including vehicles and convoys)',govt,'police jeep',Philippines,Unknown,Firearms,2,0,1,0,1,0,0,0,0,Low,yes
Egypt,'Middle East & North Africa',Qena,Qift,1,0,Assassination,Police,'Police Security Forces/Officers',Police,'Policeman Abdalah Ham Dallah',Egypt,'Al-Gama at al-Islamiyya (IG)',Firearms,1,0,0,0,0,0,0,0,1,Low,yes
Iraq,'Middle East & North Africa',Babil,Mahmudiyah,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Iraq,Unknown,Explosives,2,0,7,0,-9,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Saladin,Siniyah,1,0,Unknown,Military,'Military Personnel (soldiers  troops  officers  forces)','Iraqi Armed Forces',Soldiers,Iraq,'Islamic State of Iraq and the Levant (ISIL)',Unknown,3,1,0,0,0,0,0,0,1,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,'Hostage Taking (Kidnapping)',Business,Retail/Grocery/Bakery,'Technology Provider','Zaid Meerwali  a Canadian man running a technology business in Baghdad',Canada,Unknown,Firearms,1,0,0,0,-9,1,1,0,1,Low,yes
India,'South Asia','Jammu and Kashmir',Srinagar,1,0,'Armed Assault',Police,'Police Security Forces/Officers','Indian Law Enforcement','A police head constable was targeted in the attack.',India,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
